source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon
sreality,5495000,38,2,1,0,0,0,1,velmi dobre,vybavene,osobni,Praha 10,50.062946,14.594689
sreality,3675000,73,3,0,0,0,0,2,velmi dobre,vybavene,osobni,Karlovy Vary,50.242851,12.836554
sreality,4900000,72,3,1,0,0,0,3,velmi dobre,vybavene,osobni,Karlovy Vary,50.22258,12.888837
sreality,7690000,68,2,1,1,0,1,3,novostavba,vybavene,osobni,Brno,49.20364,16.626654
sreality,3590000,48,1,0,0,0,0,3,dobre,vybavene,osobni,Ostrava,49.835308,18.288086
sreality,17172784,74,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,4290000,33,1,0,0,0,1,2,velmi dobre,vybavene,osobni,České Budějovice,48.969151,14.481549
sreality,5129685,30,1,1,1,0,0,1,velmi dobre,vybavene,osobni,Praha 5,50.067493,14.368819
sreality,2500000,53,1,0,0,0,0,1,dobre,vybavene,osobni,Karlovy Vary,50.226475,12.822557
sreality,3800000,104,3,0,0,1,0,1,velmi dobre,vybavene,osobni,Ostrava,49.853687,18.279381
sreality,10900000,105,3,1,0,1,0,1,velmi dobre,vybavene,osobni,Brno,49.229595,16.601994
sreality,8500000,82,3,0,1,0,0,2,velmi dobre,vybavene,osobni,Brno,49.204456,16.595394
sreality,9000000,74,3,1,0,0,0,5,novostavba,vybavene,osobni,Brno,49.195805,16.635427
sreality,8599000,85,4,0,1,1,0,6,velmi dobre,vybavene,osobni,Brno,49.20417,16.656137
sreality,8390000,82,2,0,0,1,0,4,velmi dobre,vybavene,osobni,Brno,49.203915,16.622566
sreality,14950000,96,3,0,0,1,0,3,velmi dobre,vybavene,osobni,Brno,49.192711,16.604027
sreality,12420327,55,2,1,1,1,1,3,novostavba,vybavene,osobni,Praha 5,50.067234,14.405532
sreality,5439500,25,1,1,1,0,0,3,velmi dobre,vybavene,osobni,Praha 5,50.064335,14.41027
sreality,3490000,60,2,1,1,0,1,1,dobre,vybavene,osobni,Karlovy Vary,50.227505,12.874138
sreality,6990000,50,2,1,0,0,0,1,dobre,vybavene,osobni,Praha 8,50.115089,14.47151
