source,price,area_m2,flat_rooms,has_kk,has_lift,has_balcony,has_parking,floor,condition,furnished,ownership,locality,lat,lon,closest_stop_km,closest_train_km,closest_school_km,closest_kinder_km,closest_market_km,closest_hospital_km
sreality,13800000,66,3,1,1,0,0,4,velmi dobre,vybavene,osobni,Praha 5,50.071476,14.408781,0.11201268956515187,0.37293308947040194,0.5015113704837986,0.2981777317917381,0.10554159496884023,0.4928523486929731
sreality,12318349,71,3,1,1,1,1,4,novostavba,vybavene,osobni,Praha 9,50.153309,14.528756,0.10593019843039791,0.8260711492431674,0.5284578026300419,0.19538069056302873,0.25213723745909494,2.0344589716098636
sreality,12490000,56,2,1,1,0,0,6,novostavba,vybavene,osobni,Praha 8,50.090775,14.452274,0.36215392648551553,0.2928801594190156,0.1668011955705624,0.4599598079097477,0.12371969812809562,0.3175430557774746
sreality,13490000,62,2,1,1,0,0,6,novostavba,vybavene,osobni,Praha 8,50.090775,14.452274,0.36215392648551553,0.2928801594190156,0.1668011955705624,0.4599598079097477,0.12371969812809562,0.3175430557774746
sreality,7932389,42,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 10,50.055046,14.516415,0.22442147311551489,1.1967874619293257,0.6330885500546881,0.4898365436691119,0.2008399265260323,0.17008694592157286
sreality,20043000,79,2,0,1,0,0,3,velmi dobre,vybavene,osobni,Praha 1,50.086048,14.418432,0.1481556084826988,0.24781189076450597,0.23097429228526406,0.5620775479702618,0.04861508947612006,0.2234998147568352
sreality,5850000,37,1,1,1,1,0,2,dobre,vybavene,osobni,Praha 10,50.048801,14.560286,0.2654938043717808,1.7133332308762987,0.9678313419579965,0.8276771634330388,0.7684873829889667,3.1377717460314414
sreality,5390000,55,3,1,0,0,1,2,velmi dobre,vybavene,osobni,Liberec,50.767399,15.088365,0.07974237725379965,2.706068622860637,0.751935403347584,0.5464453617286996,0.35979695550989016,0.16581264940822169
sreality,6690000,39,1,1,0,1,0,3,velmi dobre,vybavene,osobni,Praha,50.093254,14.513268,0.140977500377658,1.134699608351486,0.19158037266968114,1.1618702755304298,0.04138854399318864,1.288806669052548
sreality,19456900,106,4,1,1,1,1,4,novostavba,vybavene,osobni,Praha 8,50.140678,14.445428,0.4672055949175424,1.9433744107338426,0.5319362345818933,0.7454877361525057,0.3563099564940552,0.5609293308128194
sreality,12897900,82,3,1,1,1,1,2,novostavba,vybavene,osobni,Praha 8,50.140678,14.445428,0.4672055949175424,1.9433744107338426,0.5319362345818933,0.7454877361525057,0.3563099564940552,0.5609293308128194
sreality,13763900,82,3,1,1,1,1,1,novostavba,vybavene,osobni,Praha 8,50.140678,14.445428,0.4672055949175424,1.9433744107338426,0.5319362345818933,0.7454877361525057,0.3563099564940552,0.5609293308128194
sreality,9249900,57,2,1,1,1,1,2,novostavba,vybavene,osobni,Praha 8,50.140678,14.445428,0.4672055949175424,1.9433744107338426,0.5319362345818933,0.7454877361525057,0.3563099564940552,0.5609293308128194
sreality,8019900,42,2,1,1,1,1,1,novostavba,vybavene,osobni,Praha 8,50.140678,14.445428,0.4672055949175424,1.9433744107338426,0.5319362345818933,0.7454877361525057,0.3563099564940552,0.5609293308128194
sreality,5979900,28,1,1,1,1,1,3,novostavba,vybavene,osobni,Praha 8,50.140678,14.445428,0.4672055949175424,1.9433744107338426,0.5319362345818933,0.7454877361525057,0.3563099564940552,0.5609293308128194
sreality,23989900,118,4,1,1,1,1,4,novostavba,vybavene,osobni,Praha 8,50.140007,14.447172,0.3254584410389225,1.8349974081575928,0.6497657269725287,0.8305424898512255,0.2180657049621967,0.5394529484534705
sreality,17033900,101,4,1,1,1,1,1,novostavba,vybavene,osobni,Praha 8,50.140007,14.447172,0.3254584410389225,1.8349974081575928,0.6497657269725287,0.8305424898512255,0.2180657049621967,0.5394529484534705
sreality,14433900,90,3,1,1,1,1,1,novostavba,vybavene,osobni,Praha 8,50.140007,14.447172,0.3254584410389225,1.8349974081575928,0.6497657269725287,0.8305424898512255,0.2180657049621967,0.5394529484534705
sreality,12449900,78,3,1,1,1,1,3,novostavba,vybavene,osobni,Praha 8,50.140007,14.447172,0.3254584410389225,1.8349974081575928,0.6497657269725287,0.8305424898512255,0.2180657049621967,0.5394529484534705
sreality,10840900,53,2,1,1,1,1,1,novostavba,vybavene,osobni,Praha 8,50.140007,14.447172,0.3254584410389225,1.8349974081575928,0.6497657269725287,0.8305424898512255,0.2180657049621967,0.5394529484534705
