type,lat,lon
stop,50.5860224,13.0163496
stop,48.7828959,17.3975765
stop,50.4765336,12.6152532
stop,49.7283771,13.3684538
stop,49.7311669,13.370042
stop,49.7276806,13.3675024
stop,50.5466635,12.575969
stop,49.85218,13.97948
stop,49.6977934,15.265197
stop,49.6990016,15.2434511
stop,50.0922953,14.5119748
stop,49.0336622,12.0911759
stop,49.052607,13.2377039
stop,49.9156999,14.7992932
stop,49.9087175,14.7739174
stop,49.46031,12.4161209
stop,49.4587788,12.408227
stop,49.4752213,12.2916418
stop,48.7647066,13.3748739
stop,50.4426026,14.4742157
stop,50.549325,14.5508054
stop,49.4585664,12.4142878
stop,50.0980025,14.3591886
stop,50.0985587,14.3643619
stop,50.0989748,14.3696592
stop,50.0994438,14.3751329
stop,50.1001302,14.3869976
stop,50.1003619,14.3914792
stop,50.0994606,14.3955248
stop,50.866755,13.7370516
stop,50.8657109,13.7378356
stop,48.5847812,13.4736985
stop,48.5761319,13.4612317
stop,48.5748376,13.4707888
stop,49.9393254,14.4633826
stop,48.7935978,13.0864519
stop,48.837449,13.151929
stop,48.8551166,13.3778677
stop,48.8169227,13.1255615
stop,49.1915025,16.6411204
stop,50.5808236,12.9958631
stop,49.0819413,16.3493327
stop,50.2118103,17.0973836
stop,50.2250595,17.1129555
stop,50.2290263,17.1468565
stop,50.2290099,17.1510412
stop,50.2288035,17.1591819
stop,51.0390629,14.0915083
stop,50.2268951,17.1841199
stop,50.0663949,17.3052828
stop,49.4573609,12.410696
stop,49.545322,14.843308
stop,49.565205,14.824259
stop,49.5651425,14.8231136
stop,49.5825,14.857499
stop,49.6173987,14.8363806
stop,49.63364,14.84452
stop,49.94374,14.43122
stop,50.0351002,14.5518308
stop,49.4056976,14.7745079
stop,50.0986409,14.4373213
stop,49.0021435,12.1147856
stop,50.1006151,14.3926795
stop,49.6005527,17.2237448
stop,50.2525706,12.4056589
stop,48.8585765,18.018359
stop,50.8592923,13.0705213
stop,50.8325253,13.0766949
stop,50.0574534,14.4235664
stop,50.0605618,14.4694496
stop,50.0526422,14.4749802
stop,50.0589502,14.4933367
stop,50.0788922,14.508337
stop,50.0395685,14.490362
stop,50.0324711,14.5182749
stop,50.0322738,14.5185825
stop,50.0261021,14.521378
stop,49.4561644,12.4163599
stop,48.5773722,13.4742984
stop,49.0090785,12.7917459
stop,50.5911129,13.5690087
stop,49.8755154,14.1471153
stop,50.7245281,15.6027969
stop,49.58374,14.74964
stop,50.8646164,15.0360185
stop,50.6197395,15.5848967
stop,49.81837,14.97675
stop,50.4866236,14.3355501
stop,49.7243853,14.9707677
stop,49.5137271,14.5925864
stop,50.0801142,14.0995672
stop,49.7803615,14.6916446
stop,50.6213429,15.5589976
stop,50.6497873,15.8997024
stop,50.619534,15.5858436
stop,49.93666,14.51416
stop,49.8870627,14.4319234
stop,49.5123022,14.5260476
stop,50.4867679,14.3339841
stop,49.8622807,14.5039918
stop,49.8309315,14.045955
stop,50.4288751,14.4149726
stop,50.17487,14.85382
stop,49.5347492,14.4606834
stop,50.5300183,14.5455901
stop,50.5784206,14.2898053
stop,49.7974974,14.0000047
stop,50.7091419,14.5443192
stop,50.8767266,14.5069068
stop,50.5971723,14.2861165
stop,50.6329587,14.523302
stop,50.5685461,14.2893429
stop,50.7387322,14.5876127
stop,50.5469161,14.502723
stop,50.5259191,14.5480585
stop,49.7934829,13.0161644
stop,49.4680718,18.1727966
stop,49.4376133,18.2642671
stop,49.4546847,18.1945278
stop,49.2918783,18.0006886
stop,49.2442095,18.0089839
stop,49.0182116,16.8936514
stop,49.2480322,16.9446374
stop,50.2917737,16.3457128
stop,48.9960711,16.9005769
stop,49.3094088,14.1318716
stop,49.7445569,13.3462789
stop,48.7795674,14.7699912
stop,49.5896524,13.4961011
stop,50.4647257,13.8754136
stop,49.7455515,13.3510896
stop,50.0903723,14.4101303
stop,49.495243,14.49495
stop,49.495911,15.3075932
stop,49.3016468,16.6498815
stop,48.9509776,14.9154284
stop,49.6166022,15.3866668
stop,49.0052872,14.5627424
stop,50.0812021,14.4051734
stop,50.0841692,14.4043916
stop,50.0814354,14.4140068
stop,50.0884689,14.4155104
stop,49.0321124,16.8840747
stop,49.3043344,15.0426031
stop,49.047507,16.840558
stop,49.0871826,16.8127545
stop,49.2597369,15.3176725
stop,49.0528458,16.8373896
stop,49.1962207,16.3590526
stop,49.6316536,16.2247018
stop,49.3788319,16.7649548
stop,50.300176,16.352606
stop,50.1024832,14.4734174
stop,49.4682621,17.4405225
stop,48.9729559,17.2512176
stop,49.9399666,17.9447888
stop,49.9310695,17.9248907
stop,49.0953166,17.4224833
stop,48.945249,17.3711143
stop,49.9361831,17.8864823
stop,49.7559213,18.2512288
stop,49.8348989,18.4876742
stop,49.0810512,17.4403012
stop,49.8561174,18.2940024
